Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 27.03.1982,15:00,VfL Osnabrück,1:2,Hannover 96
Sa. 27.03.1982,15:00,Alem. Aachen,2:2,FC Schalke 04
Sa. 27.03.1982,15:00,RW Essen,5:1,Hessen Kassel
Sa. 27.03.1982,15:00,Bayer 05,1:1,Fortuna Köln
Sa. 27.03.1982,15:00,Wattenscheid 09,0:1,Hertha BSC
Sa. 27.03.1982,15:00,K. Offenbach,3:2,SpVgg Fürth
Sa. 27.03.1982,15:00,1860 München,7:0,Wormatia Worms
Sa. 27.03.1982,15:00,Union Solingen,1:0,SpVgg Bayreuth
Sa. 27.03.1982,15:00,Freiburger FC,0:1,W. Mannheim
Sa. 27.03.1982,15:00,Stuttg. Kickers,1:2,SC Freiburg
