Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 08.08.1981,15:00,Alem. Aachen,3:0,Wattenscheid 09
Sa. 08.08.1981,15:00,Hertha BSC,4:0,Fortuna Köln
Sa. 08.08.1981,15:00,SpVgg Fürth,2:2,SC Freiburg
Sa. 08.08.1981,15:00,Wormatia Worms,1:0,Hessen Kassel
Sa. 08.08.1981,15:00,Hannover 96,3:0,RW Essen
Sa. 08.08.1981,15:00,SpVgg Bayreuth,3:1,Stuttg. Kickers
Sa. 08.08.1981,15:00,W. Mannheim,3:0,Bayer 05
Sa. 08.08.1981,15:00,FC Schalke 04,2:2,VfL Osnabrück
Sa. 08.08.1981,15:00,Freiburger FC,2:2,K. Offenbach
Sa. 08.08.1981,15:00,Union Solingen,1:2,1860 München
