Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 13.02.1982,15:00,1860 München,1:1,Alem. Aachen
Sa. 13.02.1982,15:00,Union Solingen,1:0,FC Schalke 04
Sa. 13.02.1982,15:00,SC Freiburg,3:1,Fortuna Köln
Sa. 13.02.1982,15:00,RW Essen,2:0,SpVgg Fürth
Sa. 13.02.1982,15:00,Bayer 05,3:2,Hannover 96
Sa. 13.02.1982,15:00,Wattenscheid 09,2:0,SpVgg Bayreuth
Sa. 13.02.1982,15:00,K. Offenbach,3:0,W. Mannheim
Sa. 13.02.1982,15:00,VfL Osnabrück,2:1,Freiburger FC
Sa. 13.02.1982,15:00,Hessen Kassel,2:2,Hertha BSC
Sa. 13.02.1982,15:00,Stuttg. Kickers,2:1,Wormatia Worms
