Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 27.02.1982,15:00,SpVgg Bayreuth,0:1,K. Offenbach
Sa. 27.02.1982,15:00,Hannover 96,0:0,Wattenscheid 09
Sa. 27.02.1982,15:00,Freiburger FC,0:2,Union Solingen
Sa. 27.02.1982,15:00,Alem. Aachen,1:0,VfL Osnabrück
Sa. 27.02.1982,15:00,W. Mannheim,1:0,1860 München
Sa. 27.02.1982,15:00,Wormatia Worms,0:0,Bayer 05
Sa. 27.02.1982,15:00,SpVgg Fürth,0:2,Stuttg. Kickers
Sa. 27.02.1982,15:00,Hertha BSC,4:2,RW Essen
Sa. 27.02.1982,15:00,Fortuna Köln,2:0,Hessen Kassel
Sa. 27.02.1982,15:00,FC Schalke 04,2:0,SC Freiburg
