Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 28.11.1981,15:00,SC Freiburg,2:0,Alem. Aachen
Sa. 28.11.1981,15:00,SpVgg Fürth,2:4,Hannover 96
Sa. 28.11.1981,15:00,Bayer 05,3:2,1860 München
Sa. 28.11.1981,15:00,Stuttg. Kickers,5:3,VfL Osnabrück
Sa. 28.11.1981,15:00,RW Essen,1:0,Union Solingen
Sa. 28.11.1981,15:00,Hertha BSC,0:0,SpVgg Bayreuth
Sa. 28.11.1981,15:00,Wormatia Worms,0:3,FC Schalke 04
Sa. 28.11.1981,15:00,Fortuna Köln,2:2,W. Mannheim
Sa. 28.11.1981,15:00,Hessen Kassel,3:0,Freiburger FC
So. 10.01.1982,15:00,Wattenscheid 09,1:3,K. Offenbach
