Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 31.10.1981,15:00,Bayer 05,0:0,FC Schalke 04
Sa. 31.10.1981,15:00,Freiburger FC,2:3,Hertha BSC
Sa. 31.10.1981,15:00,K. Offenbach,2:1,RW Essen
Sa. 31.10.1981,15:00,Alem. Aachen,2:0,SpVgg Fürth
Sa. 31.10.1981,15:00,Union Solingen,4:2,Fortuna Köln
Sa. 31.10.1981,15:00,1860 München,1:1,Hessen Kassel
Sa. 31.10.1981,15:00,SpVgg Bayreuth,3:1,Hannover 96
Sa. 31.10.1981,15:00,W. Mannheim,1:0,Wormatia Worms
Sa. 31.10.1981,15:00,VfL Osnabrück,1:0,SC Freiburg
Fr. 20.11.1981,19:30,Wattenscheid 09,1:0,Stuttg. Kickers
