Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 21.08.1965,16:00,VfB Stuttgart,2:0,Meidericher SV
Sa. 21.08.1965,16:00,Bor. M'gladbach,5:0,Tasmania Berlin
Sa. 21.08.1965,16:00,1.FC Nürnberg,1:4,1860 München
Sa. 21.08.1965,16:00,Bor. Dortmund,1:0,B. Neunkirchen
Sa. 21.08.1965,16:00,Bayern München,2:0,E. Frankfurt
Sa. 21.08.1965,16:00,Hannover 96,2:1,Werder Bremen
Sa. 21.08.1965,16:00,1.FC K'lautern,3:2,1.FC Köln
Sa. 21.08.1965,16:00,Hamburger SV,2:1,E. Braunschweig
Sa. 21.08.1965,16:00,FC Schalke 04,0:0,Karlsruher SC
