Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 25.10.1996,19:30,Hansa Rostock,3:1,FC St. Pauli
Fr. 25.10.1996,20:00,Werder Bremen,1:1,B. Leverkusen
Sa. 26.10.1996,15:30,1.FC Köln,3:1,FC Schalke 04
Sa. 26.10.1996,15:30,Bor. Dortmund,5:0,Arm. Bielefeld
Sa. 26.10.1996,15:30,F. Düsseldorf,0:2,Bayern München
Sa. 26.10.1996,15:30,Hamburger SV,2:0,Karlsruher SC
Sa. 26.10.1996,15:30,1860 München,1:1,MSV Duisburg
Sa. 26.10.1996,15:30,VfB Stuttgart,5:0,Bor. M'gladbach
So. 27.10.1996,18:00,SC Freiburg,0:1,VfL Bochum
