Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 23.08.1996,20:00,Hansa Rostock,0:1,Hamburger SV
Fr. 23.08.1996,20:00,FC St. Pauli,4:4,FC Schalke 04
Sa. 24.08.1996,15:30,B. Leverkusen,0:1,F. Düsseldorf
Sa. 24.08.1996,15:30,Bor. M'gladbach,1:3,Karlsruher SC
Sa. 24.08.1996,15:30,SC Freiburg,1:3,1.FC Köln
Sa. 24.08.1996,15:30,1860 München,1:3,Bor. Dortmund
Sa. 24.08.1996,15:30,VfB Stuttgart,2:1,Werder Bremen
Sa. 24.08.1996,15:30,VfL Bochum,1:1,Arm. Bielefeld
So. 25.08.1996,18:00,MSV Duisburg,0:4,Bayern München
