Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 27.03.1987,20:00,VfL Osnabrück,2:1,RW Oberhausen
Sa. 28.03.1987,15:00,Darmstadt 98,2:2,Alem. Aachen
Sa. 28.03.1987,15:00,RW Essen,3:0,SC Freiburg
Sa. 28.03.1987,15:00,Saarbrücken,2:1,Hessen Kassel
Sa. 28.03.1987,15:00,Stuttg. Kickers,1:2,FC St. Pauli
Sa. 28.03.1987,15:00,Karlsruher SC,1:0,Fortuna Köln
So. 29.03.1987,15:00,Hannover 96,2:4,Wattenscheid 09
So. 29.03.1987,15:00,Union Solingen,1:1,E. Braunschweig
So. 29.03.1987,15:00,Aschaffenburg,1:2,Arm. Bielefeld
Di. 05.05.1987,18:30,FSV Salmrohr,2:1,SSV Ulm 1846
