Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 13.03.1987,20:00,RW Essen,3:1,Wattenscheid 09
Sa. 14.03.1987,15:00,Darmstadt 98,2:1,E. Braunschweig
Sa. 14.03.1987,15:00,Aschaffenburg,1:4,SC Freiburg
Sa. 14.03.1987,15:00,Karlsruher SC,5:0,SSV Ulm 1846
Sa. 14.03.1987,15:00,Saarbrücken,1:1,RW Oberhausen
Sa. 14.03.1987,15:00,FSV Salmrohr,2:2,Stuttg. Kickers
So. 15.03.1987,15:00,Union Solingen,3:0,Fortuna Köln
Mi. 01.04.1987,20:00,VfL Osnabrück,1:3,FC St. Pauli
Di. 05.05.1987,20:00,Arm. Bielefeld,1:5,Alem. Aachen
Di. 19.05.1987,19:00,Hannover 96,0:0,Hessen Kassel
