Datum,Uhrzeit,Heim,Ergebnis,Gast
Do. 02.10.1986,20:00,Alem. Aachen,4:0,Karlsruher SC
Fr. 03.10.1986,19:30,Wattenscheid 09,5:0,VfL Osnabrück
Sa. 04.10.1986,15:00,Darmstadt 98,4:0,RW Essen
Sa. 04.10.1986,15:00,SC Freiburg,1:1,Saarbrücken
Sa. 04.10.1986,15:00,E. Braunschweig,3:0,FSV Salmrohr
Sa. 04.10.1986,15:00,Hessen Kassel,0:2,RW Oberhausen
Sa. 04.10.1986,15:00,FC St. Pauli,0:0,SSV Ulm 1846
So. 05.10.1986,15:00,Aschaffenburg,2:1,Union Solingen
So. 05.10.1986,15:00,Arm. Bielefeld,1:2,Hannover 96
So. 05.10.1986,15:00,Fortuna Köln,1:6,Stuttg. Kickers
