Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 25.07.1986,20:00,Wattenscheid 09,1:1,Alem. Aachen
Fr. 25.07.1986,20:00,RW Oberhausen,2:0,RW Essen
Sa. 26.07.1986,15:00,E. Braunschweig,2:0,SC Freiburg
Sa. 26.07.1986,15:00,Fortuna Köln,0:0,Arm. Bielefeld
Sa. 26.07.1986,15:00,Hessen Kassel,1:4,Aschaffenburg
Sa. 26.07.1986,15:00,Stuttg. Kickers,3:1,Union Solingen
Sa. 26.07.1986,15:00,FC St. Pauli,4:2,Saarbrücken
So. 27.07.1986,15:00,SSV Ulm 1846,2:0,Darmstadt 98
So. 27.07.1986,15:00,FSV Salmrohr,1:1,Karlsruher SC
Di. 29.07.1986,20:00,VfL Osnabrück,1:2,Hannover 96
