Datum,Uhrzeit,Heim,Ergebnis,Gast
Mi. 13.08.1986,19:00,Hannover 96,2:1,SSV Ulm 1846
Fr. 15.08.1986,20:00,Alem. Aachen,1:1,FC St. Pauli
Fr. 15.08.1986,20:00,Saarbrücken,2:0,Stuttg. Kickers
Sa. 16.08.1986,15:00,Karlsruher SC,3:2,RW Oberhausen
Sa. 16.08.1986,15:00,Union Solingen,3:0,Hessen Kassel
Sa. 16.08.1986,15:00,RW Essen,3:3,Fortuna Köln
Sa. 16.08.1986,15:00,Darmstadt 98,1:1,Wattenscheid 09
Sa. 16.08.1986,15:00,FSV Salmrohr,2:3,VfL Osnabrück
So. 17.08.1986,15:00,Aschaffenburg,3:1,E. Braunschweig
So. 17.08.1986,15:00,Arm. Bielefeld,0:0,SC Freiburg
