Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 08.08.1986,20:00,Wattenscheid 09,2:0,Aschaffenburg
Fr. 08.08.1986,20:00,E. Braunschweig,2:3,Arm. Bielefeld
Fr. 08.08.1986,20:00,VfL Osnabrück,1:1,Saarbrücken
Sa. 09.08.1986,15:00,Fortuna Köln,0:1,Darmstadt 98
Sa. 09.08.1986,15:00,Hessen Kassel,2:2,RW Essen
Sa. 09.08.1986,15:00,SSV Ulm 1846,3:1,Union Solingen
Sa. 09.08.1986,15:00,Stuttg. Kickers,2:0,Karlsruher SC
Sa. 09.08.1986,15:00,FC St. Pauli,3:0,FSV Salmrohr
So. 10.08.1986,15:00,SC Freiburg,2:1,Alem. Aachen
So. 10.08.1986,15:00,RW Oberhausen,1:2,Hannover 96
