Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 22.05.1987,20:00,Karlsruher SC,3:0,RW Essen
Fr. 22.05.1987,20:00,Hannover 96,2:0,Union Solingen
Fr. 22.05.1987,20:00,VfL Osnabrück,1:5,Arm. Bielefeld
Sa. 23.05.1987,15:00,Stuttg. Kickers,3:2,Alem. Aachen
Sa. 23.05.1987,15:00,Fortuna Köln,2:2,FC St. Pauli
Sa. 23.05.1987,15:00,Hessen Kassel,2:3,Wattenscheid 09
So. 24.05.1987,15:00,Saarbrücken,0:5,Darmstadt 98
So. 24.05.1987,15:00,FSV Salmrohr,1:1,Aschaffenburg
So. 24.05.1987,15:00,RW Oberhausen,2:0,SC Freiburg
So. 24.05.1987,15:00,SSV Ulm 1846,4:2,E. Braunschweig
