Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 24.04.1987,20:00,VfL Osnabrück,1:1,Wattenscheid 09
Fr. 24.04.1987,20:00,Hannover 96,4:1,Arm. Bielefeld
Sa. 25.04.1987,15:00,Karlsruher SC,2:2,Alem. Aachen
Sa. 25.04.1987,15:00,RW Essen,1:4,Darmstadt 98
Sa. 25.04.1987,15:00,Saarbrücken,2:2,SC Freiburg
Sa. 25.04.1987,15:00,Stuttg. Kickers,3:1,Fortuna Köln
So. 26.04.1987,15:00,FSV Salmrohr,0:0,E. Braunschweig
So. 26.04.1987,15:00,RW Oberhausen,0:1,Hessen Kassel
So. 26.04.1987,15:00,SSV Ulm 1846,1:0,FC St. Pauli
So. 26.04.1987,15:00,Union Solingen,4:1,Aschaffenburg
