Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 05.06.1987,19:30,Saarbrücken,1:1,Union Solingen
Fr. 05.06.1987,20:00,VfL Osnabrück,3:0,Darmstadt 98
Fr. 05.06.1987,20:00,Karlsruher SC,3:2,Hannover 96
Sa. 06.06.1987,15:30,Stuttg. Kickers,1:1,Aschaffenburg
Sa. 06.06.1987,15:30,RW Oberhausen,0:0,Arm. Bielefeld
Sa. 06.06.1987,15:30,SSV Ulm 1846,2:0,Alem. Aachen
Sa. 06.06.1987,15:30,Hessen Kassel,4:2,SC Freiburg
Sa. 06.06.1987,15:30,Fortuna Köln,1:0,E. Braunschweig
Sa. 06.06.1987,15:30,FC St. Pauli,1:1,Wattenscheid 09
So. 07.06.1987,15:00,FSV Salmrohr,2:2,RW Essen
