Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 05.12.1986,20:00,Hannover 96,3:1,FSV Salmrohr
Sa. 06.12.1986,15:00,Karlsruher SC,6:0,Saarbrücken
Sa. 06.12.1986,15:00,Darmstadt 98,2:2,RW Oberhausen
Sa. 06.12.1986,15:00,Aschaffenburg,0:0,SSV Ulm 1846
Sa. 06.12.1986,15:00,Arm. Bielefeld,1:0,Hessen Kassel
Sa. 06.12.1986,15:00,SC Freiburg,5:1,Wattenscheid 09
Sa. 06.12.1986,15:00,E. Braunschweig,1:2,FC St. Pauli
So. 07.12.1986,15:00,Union Solingen,0:1,VfL Osnabrück
So. 07.12.1986,15:00,RW Essen,2:1,Stuttg. Kickers
So. 07.12.1986,15:00,Alem. Aachen,0:1,Fortuna Köln
