Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 29.11.1986,15:00,Wattenscheid 09,1:0,E. Braunschweig
Sa. 29.11.1986,15:00,Fortuna Köln,1:1,SC Freiburg
Sa. 29.11.1986,15:00,Hessen Kassel,1:1,Alem. Aachen
Sa. 29.11.1986,15:00,SSV Ulm 1846,1:2,Arm. Bielefeld
Sa. 29.11.1986,15:00,RW Oberhausen,0:0,Aschaffenburg
Sa. 29.11.1986,15:00,Stuttg. Kickers,0:1,Darmstadt 98
So. 30.11.1986,14:15,FSV Salmrohr,2:0,Union Solingen
So. 30.11.1986,14:15,FC St. Pauli,2:0,Karlsruher SC
So. 30.11.1986,15:00,VfL Osnabrück,2:2,RW Essen
So. 30.11.1986,15:00,Saarbrücken,1:2,Hannover 96
