Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 31.10.1986,19:30,Saarbrücken,4:2,Aschaffenburg
Fr. 31.10.1986,20:00,Union Solingen,3:2,FC St. Pauli
Sa. 01.11.1986,15:00,Karlsruher SC,4:0,Darmstadt 98
Sa. 01.11.1986,15:00,Hannover 96,3:2,RW Essen
Sa. 01.11.1986,15:00,SSV Ulm 1846,3:1,Wattenscheid 09
Sa. 01.11.1986,15:00,Stuttg. Kickers,3:0,SC Freiburg
So. 02.11.1986,14:30,Hessen Kassel,1:0,Fortuna Köln
So. 02.11.1986,14:30,FSV Salmrohr,1:1,Arm. Bielefeld
So. 02.11.1986,15:00,RW Oberhausen,1:0,E. Braunschweig
So. 02.11.1986,15:00,VfL Osnabrück,0:2,Alem. Aachen
