Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 10.04.1987,19:30,Saarbrücken,4:1,Wattenscheid 09
Fr. 10.04.1987,20:00,Hannover 96,1:1,SC Freiburg
Fr. 10.04.1987,20:00,VfL Osnabrück,3:1,Hessen Kassel
Sa. 11.04.1987,15:00,RW Essen,2:0,Arm. Bielefeld
Sa. 11.04.1987,15:00,Karlsruher SC,2:1,E. Braunschweig
Sa. 11.04.1987,15:00,Darmstadt 98,1:0,Aschaffenburg
Sa. 11.04.1987,15:00,FSV Salmrohr,4:0,Fortuna Köln
Sa. 11.04.1987,15:00,RW Oberhausen,0:1,FC St. Pauli
So. 12.04.1987,15:00,Union Solingen,2:1,Alem. Aachen
So. 12.04.1987,15:00,Stuttg. Kickers,3:1,SSV Ulm 1846
