Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 29.05.1987,20:00,Alem. Aachen,2:1,RW Oberhausen
Sa. 30.05.1987,15:30,Union Solingen,1:1,Karlsruher SC
Sa. 30.05.1987,15:30,FC St. Pauli,3:4,Hannover 96
Sa. 30.05.1987,15:30,E. Braunschweig,3:0,Hessen Kassel
Sa. 30.05.1987,15:30,SC Freiburg,3:1,SSV Ulm 1846
Sa. 30.05.1987,15:30,Darmstadt 98,8:0,FSV Salmrohr
Sa. 30.05.1987,15:30,RW Essen,4:0,Saarbrücken
So. 31.05.1987,15:00,Wattenscheid 09,1:2,Fortuna Köln
So. 31.05.1987,15:00,Arm. Bielefeld,1:1,Stuttg. Kickers
So. 31.05.1987,15:00,Aschaffenburg,1:1,VfL Osnabrück
