Datum,Uhrzeit,Heim,Ergebnis,Gast
Di. 02.09.1986,18:15,Aschaffenburg,1:2,Alem. Aachen
Di. 02.09.1986,19:30,Darmstadt 98,1:0,SC Freiburg
Di. 02.09.1986,19:30,Saarbrücken,2:0,SSV Ulm 1846
Di. 02.09.1986,20:00,Arm. Bielefeld,1:1,FC St. Pauli
Di. 02.09.1986,20:00,Hannover 96,2:0,Fortuna Köln
Di. 02.09.1986,20:00,Union Solingen,1:1,Wattenscheid 09
Mi. 03.09.1986,18:15,FSV Salmrohr,2:4,RW Oberhausen
Mi. 03.09.1986,19:30,RW Essen,1:1,E. Braunschweig
Mi. 03.09.1986,20:00,Karlsruher SC,2:1,Hessen Kassel
Mi. 03.09.1986,20:00,VfL Osnabrück,3:2,Stuttg. Kickers
