Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 10.12.1983,15:00,Alem. Aachen,2:0,Union Solingen
Sa. 10.12.1983,15:00,Stuttg. Kickers,1:1,Saarbrücken
Sa. 10.12.1983,15:00,Karlsruher SC,2:2,Hertha BSC
Sa. 10.12.1983,15:00,SC Freiburg,2:2,Hannover 96
Sa. 10.12.1983,15:00,Fortuna Köln,2:1,SSV Ulm 1846
Sa. 10.12.1983,15:00,Wattenscheid 09,4:3,VfL Osnabrück
Sa. 10.12.1983,15:00,RW Essen,1:1,FC Schalke 04
Sa. 10.12.1983,15:00,MSV Duisburg,0:0,Darmstadt 98
Sa. 17.12.1983,15:00,Lüttringhausen,2:1,RW Oberhausen
Sa. 14.01.1984,15:00,SCC Berlin,1:1,Hessen Kassel
