Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 24.09.1983,15:00,RW Essen,2:4,Alem. Aachen
Sa. 24.09.1983,15:00,Lüttringhausen,1:0,SC Freiburg
Sa. 24.09.1983,15:00,SCC Berlin,2:1,Wattenscheid 09
Sa. 24.09.1983,15:00,Fortuna Köln,5:1,Darmstadt 98
Sa. 24.09.1983,15:00,SSV Ulm 1846,1:3,Union Solingen
Sa. 24.09.1983,15:00,Hessen Kassel,2:2,Hertha BSC
Sa. 24.09.1983,15:00,Saarbrücken,2:1,Hannover 96
Sa. 24.09.1983,15:00,RW Oberhausen,0:2,MSV Duisburg
Sa. 24.09.1983,15:00,Stuttg. Kickers,2:3,Karlsruher SC
Sa. 24.09.1983,15:00,FC Schalke 04,3:1,VfL Osnabrück
