Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 17.03.1984,15:00,VfL Osnabrück,4:0,Saarbrücken
Sa. 17.03.1984,15:00,Darmstadt 98,3:1,Alem. Aachen
Sa. 17.03.1984,15:00,SSV Ulm 1846,1:0,FC Schalke 04
Sa. 17.03.1984,15:00,Hannover 96,4:1,Lüttringhausen
Sa. 17.03.1984,15:00,Karlsruher SC,3:0,RW Essen
Sa. 17.03.1984,15:00,Wattenscheid 09,4:2,Fortuna Köln
Sa. 17.03.1984,15:00,Union Solingen,0:2,Hessen Kassel
Sa. 17.03.1984,15:00,MSV Duisburg,1:1,Stuttg. Kickers
Sa. 17.03.1984,15:00,SC Freiburg,2:2,SCC Berlin
Sa. 17.03.1984,15:00,Hertha BSC,3:2,RW Oberhausen
