Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 26.11.1983,15:00,Wattenscheid 09,1:1,SSV Ulm 1846
Sa. 26.11.1983,15:00,SCC Berlin,2:2,RW Oberhausen
Sa. 26.11.1983,15:00,Stuttg. Kickers,3:1,Lüttringhausen
Sa. 26.11.1983,15:00,RW Essen,0:5,Saarbrücken
Sa. 26.11.1983,15:00,Alem. Aachen,1:2,FC Schalke 04
Sa. 26.11.1983,15:00,Karlsruher SC,3:2,Union Solingen
Sa. 26.11.1983,15:00,Hannover 96,1:1,Darmstadt 98
Sa. 26.11.1983,15:00,SC Freiburg,2:0,VfL Osnabrück
Sa. 26.11.1983,15:00,Fortuna Köln,2:1,Hessen Kassel
Sa. 26.11.1983,15:00,MSV Duisburg,4:2,Hertha BSC
