Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 12.05.1984,15:00,SSV Ulm 1846,1:1,Wattenscheid 09
Sa. 12.05.1984,15:00,RW Oberhausen,2:1,SCC Berlin
Sa. 12.05.1984,15:00,Lüttringhausen,0:2,Stuttg. Kickers
Sa. 12.05.1984,15:00,Saarbrücken,1:1,RW Essen
Sa. 12.05.1984,15:00,Union Solingen,2:0,Karlsruher SC
Sa. 12.05.1984,15:00,Darmstadt 98,1:1,Hannover 96
Sa. 12.05.1984,15:00,VfL Osnabrück,0:0,SC Freiburg
Sa. 12.05.1984,15:00,Hessen Kassel,2:0,Fortuna Köln
Sa. 12.05.1984,15:00,Hertha BSC,1:4,MSV Duisburg
Di. 15.05.1984,19:00,FC Schalke 04,5:0,Alem. Aachen
