Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 06.08.1983,15:00,Union Solingen,2:2,Fortuna Köln
Sa. 06.08.1983,15:00,VfL Osnabrück,0:0,Alem. Aachen
Sa. 06.08.1983,15:00,FC Schalke 04,3:0,SCC Berlin
Sa. 06.08.1983,15:00,MSV Duisburg,0:0,SC Freiburg
Sa. 06.08.1983,15:00,Hannover 96,1:5,Karlsruher SC
Sa. 06.08.1983,15:00,Hertha BSC,1:1,Wattenscheid 09
Sa. 06.08.1983,15:00,SSV Ulm 1846,5:2,RW Essen
Sa. 06.08.1983,15:00,Hessen Kassel,3:0,Stuttg. Kickers
Sa. 06.08.1983,15:00,Saarbrücken,2:1,Lüttringhausen
Sa. 06.08.1983,15:00,Darmstadt 98,2:0,RW Oberhausen
