Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 21.01.1984,15:00,Fortuna Köln,1:3,Union Solingen
Sa. 21.01.1984,15:00,Alem. Aachen,1:0,VfL Osnabrück
Sa. 21.01.1984,15:00,SCC Berlin,1:1,FC Schalke 04
Sa. 21.01.1984,15:00,SC Freiburg,1:1,MSV Duisburg
Sa. 21.01.1984,15:00,Karlsruher SC,0:1,Hannover 96
Sa. 21.01.1984,15:00,Wattenscheid 09,3:2,Hertha BSC
Sa. 21.01.1984,15:00,RW Essen,1:1,SSV Ulm 1846
Sa. 21.01.1984,15:00,Lüttringhausen,1:2,Saarbrücken
Sa. 21.01.1984,15:00,RW Oberhausen,4:0,Darmstadt 98
Di. 27.03.1984,15:00,Stuttg. Kickers,1:0,Hessen Kassel
