Datum,Uhrzeit,Heim,Ergebnis,Gast
Mi. 31.08.1983,19:30,SCC Berlin,2:0,Hannover 96
Mi. 31.08.1983,19:30,Hessen Kassel,0:2,FC Schalke 04
Mi. 31.08.1983,19:30,Wattenscheid 09,1:1,Darmstadt 98
Mi. 31.08.1983,19:30,Saarbrücken,2:0,SSV Ulm 1846
Mi. 31.08.1983,19:30,RW Essen,0:0,MSV Duisburg
Mi. 31.08.1983,19:30,Fortuna Köln,3:1,SC Freiburg
Mi. 31.08.1983,19:30,Alem. Aachen,0:0,Karlsruher SC
Mi. 31.08.1983,19:30,Lüttringhausen,3:0,VfL Osnabrück
Mi. 31.08.1983,19:30,Stuttg. Kickers,0:2,Hertha BSC
Mi. 31.08.1983,19:30,RW Oberhausen,1:0,Union Solingen
