Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 31.03.1984,15:00,Alem. Aachen,1:1,RW Essen
Sa. 31.03.1984,15:00,SC Freiburg,3:3,Lüttringhausen
Sa. 31.03.1984,15:00,Wattenscheid 09,5:1,SCC Berlin
Sa. 31.03.1984,15:00,Darmstadt 98,1:5,Fortuna Köln
Sa. 31.03.1984,15:00,Union Solingen,4:2,SSV Ulm 1846
Sa. 31.03.1984,15:00,Hertha BSC,2:0,Hessen Kassel
Sa. 31.03.1984,15:00,Hannover 96,2:1,Saarbrücken
Sa. 31.03.1984,15:00,MSV Duisburg,4:3,RW Oberhausen
Sa. 31.03.1984,15:00,Karlsruher SC,1:1,Stuttg. Kickers
Sa. 31.03.1984,15:00,VfL Osnabrück,1:0,FC Schalke 04
