Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 28.01.1984,15:00,Union Solingen,3:2,RW Essen
Sa. 28.01.1984,15:00,VfL Osnabrück,0:4,Fortuna Köln
Sa. 28.01.1984,15:00,Hertha BSC,2:2,Alem. Aachen
Sa. 28.01.1984,15:00,Hessen Kassel,4:2,Lüttringhausen
Sa. 28.01.1984,15:00,FC Schalke 04,2:1,Stuttg. Kickers
Sa. 28.01.1984,15:00,Darmstadt 98,0:2,SC Freiburg
Sa. 28.01.1984,15:00,Saarbrücken,5:1,RW Oberhausen
Sa. 03.03.1984,15:00,MSV Duisburg,2:1,Karlsruher SC
Sa. 03.03.1984,15:00,SSV Ulm 1846,1:1,SCC Berlin
Di. 03.04.1984,19:00,Hannover 96,3:1,Wattenscheid 09
