Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 14.02.26,unbekannt,B. Leverkusen,-:-,FC St. Pauli
Sa. 14.02.26,unbekannt,E. Frankfurt,-:-,Bor. M'gladbach
Sa. 14.02.26,unbekannt,Bor. Dortmund,-:-,1.FSV Mainz 05
Sa. 14.02.26,unbekannt,RB Leipzig,-:-,VfL Wolfsburg
Sa. 14.02.26,unbekannt,Werder Bremen,-:-,Bayern München
Sa. 14.02.26,unbekannt,VfB Stuttgart,-:-,1.FC Köln
Sa. 14.02.26,unbekannt,FC Augsburg,-:-,1.FC Heidenheim
Sa. 14.02.26,unbekannt,TSG Hoffenheim,-:-,SC Freiburg
Sa. 14.02.26,unbekannt,Hamburger SV,-:-,Union Berlin
