Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 20.12.25,unbekannt,Bor. Dortmund,-:-,Bor. M'gladbach
Sa. 20.12.25,unbekannt,1.FSV Mainz 05,-:-,FC St. Pauli
Sa. 20.12.25,unbekannt,RB Leipzig,-:-,B. Leverkusen
Sa. 20.12.25,unbekannt,VfB Stuttgart,-:-,TSG Hoffenheim
Sa. 20.12.25,unbekannt,VfL Wolfsburg,-:-,SC Freiburg
Sa. 20.12.25,unbekannt,FC Augsburg,-:-,Werder Bremen
Sa. 20.12.25,unbekannt,1.FC Heidenheim,-:-,Bayern München
Sa. 20.12.25,unbekannt,1.FC Köln,-:-,Union Berlin
Sa. 20.12.25,unbekannt,Hamburger SV,-:-,E. Frankfurt
