Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 02.05.26,unbekannt,Bayern München,-:-,1.FC Heidenheim
Sa. 02.05.26,unbekannt,B. Leverkusen,-:-,RB Leipzig
Sa. 02.05.26,unbekannt,E. Frankfurt,-:-,Hamburger SV
Sa. 02.05.26,unbekannt,SC Freiburg,-:-,VfL Wolfsburg
Sa. 02.05.26,unbekannt,Werder Bremen,-:-,FC Augsburg
Sa. 02.05.26,unbekannt,Bor. M'gladbach,-:-,Bor. Dortmund
Sa. 02.05.26,unbekannt,Union Berlin,-:-,1.FC Köln
Sa. 02.05.26,unbekannt,FC St. Pauli,-:-,1.FSV Mainz 05
Sa. 02.05.26,unbekannt,TSG Hoffenheim,-:-,VfB Stuttgart
