Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 30.01.1982,15:30,Bor. Dortmund,2:3,Hamburger SV
Sa. 30.01.1982,15:30,1.FC Köln,1:0,VfL Bochum
Sa. 30.01.1982,15:30,1.FC K'lautern,3:0,MSV Duisburg
Sa. 30.01.1982,15:30,Karlsruher SC,1:1,Bor. M'gladbach
Sa. 30.01.1982,15:30,F. Düsseldorf,4:1,Arm. Bielefeld
Do. 18.02.1982,20:00,Darmstadt 98,1:3,B. Leverkusen
Di. 09.03.1982,20:00,1.FC Nürnberg,5:3,E. Frankfurt
Do. 08.04.1982,20:00,E. Braunschweig,2:0,VfB Stuttgart
Di. 18.05.1982,20:00,Werder Bremen,2:0,Bayern München
