Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 13.03.1982,15:30,MSV Duisburg,1:2,Hamburger SV
Sa. 13.03.1982,15:30,Bor. M'gladbach,0:2,1.FC Köln
Sa. 13.03.1982,15:30,Bayern München,3:1,Bor. Dortmund
Sa. 13.03.1982,15:30,B. Leverkusen,0:1,1.FC K'lautern
Sa. 13.03.1982,15:30,Werder Bremen,2:1,Karlsruher SC
Sa. 13.03.1982,15:30,VfB Stuttgart,5:2,E. Frankfurt
Sa. 13.03.1982,15:30,VfL Bochum,3:0,F. Düsseldorf
Sa. 13.03.1982,15:30,Darmstadt 98,2:3,E. Braunschweig
Sa. 13.03.1982,15:30,Arm. Bielefeld,2:0,1.FC Nürnberg
