Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 25.11.1989,15:00,Darmstadt 98,2:0,Fortuna Köln
Sa. 25.11.1989,15:00,SpVgg Bayreuth,0:2,Wattenscheid 09
Sa. 25.11.1989,15:00,Hannover 96,3:0,E. Braunschweig
Sa. 25.11.1989,15:00,MSV Duisburg,3:1,Alem. Aachen
Sa. 25.11.1989,15:00,FC Schalke 04,1:0,RW Essen
Sa. 25.11.1989,15:00,Pr. Münster,2:6,Hertha BSC
Sa. 25.11.1989,15:00,SV Meppen,3:1,VfL Osnabrück
Sa. 25.11.1989,15:00,Stuttg. Kickers,1:0,Saarbrücken
So. 26.11.1989,14:15,Unterhaching,0:0,SC Freiburg
Mi. 14.03.1990,19:30,BW Berlin,0:1,Hessen Kassel
