Datum,Uhrzeit,Heim,Ergebnis,Gast
Mi. 23.08.1989,19:30,Saarbrücken,4:0,SV Meppen
Mi. 23.08.1989,19:30,Fortuna Köln,2:1,Hannover 96
Mi. 23.08.1989,19:30,Hessen Kassel,1:5,VfL Osnabrück
Mi. 23.08.1989,19:30,Wattenscheid 09,3:1,FC Schalke 04
Mi. 23.08.1989,19:30,RW Essen,0:1,SC Freiburg
Mi. 23.08.1989,19:30,Hertha BSC,2:1,MSV Duisburg
Mi. 23.08.1989,19:30,Pr. Münster,1:1,Stuttg. Kickers
Mi. 23.08.1989,19:30,Darmstadt 98,3:1,SpVgg Bayreuth
Mi. 23.08.1989,19:30,E. Braunschweig,2:0,BW Berlin
Mi. 23.08.1989,19:30,Alem. Aachen,2:0,Unterhaching
