Datum,Uhrzeit,Heim,Ergebnis,Gast
Mi. 18.04.1990,19:30,Hertha BSC,4:0,Saarbrücken
Sa. 05.05.1990,15:00,Pr. Münster,2:0,Alem. Aachen
Sa. 05.05.1990,15:00,Stuttg. Kickers,2:1,VfL Osnabrück
Sa. 05.05.1990,15:00,Hannover 96,2:0,BW Berlin
Sa. 05.05.1990,15:00,SpVgg Bayreuth,1:2,RW Essen
Sa. 05.05.1990,15:00,MSV Duisburg,1:0,SC Freiburg
Sa. 05.05.1990,15:00,Darmstadt 98,2:2,E. Braunschweig
Sa. 05.05.1990,15:00,Fortuna Köln,1:1,Wattenscheid 09
Sa. 05.05.1990,15:00,FC Schalke 04,3:3,Unterhaching
Sa. 05.05.1990,15:00,Hessen Kassel,1:1,SV Meppen
