Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 09.09.1989,15:00,VfL Osnabrück,3:1,Alem. Aachen
Sa. 09.09.1989,15:00,RW Essen,1:0,E. Braunschweig
Sa. 09.09.1989,15:00,Hannover 96,1:1,Darmstadt 98
Sa. 09.09.1989,15:00,SV Meppen,0:0,Hertha BSC
Sa. 09.09.1989,15:00,SC Freiburg,1:4,Saarbrücken
Sa. 09.09.1989,15:00,BW Berlin,1:1,Wattenscheid 09
Sa. 09.09.1989,15:00,Unterhaching,1:2,Fortuna Köln
Sa. 09.09.1989,15:00,FC Schalke 04,0:1,Pr. Münster
Sa. 09.09.1989,15:00,MSV Duisburg,3:1,SpVgg Bayreuth
Sa. 09.09.1989,15:00,Stuttg. Kickers,2:0,Hessen Kassel
