Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 09.12.1989,15:00,FC Schalke 04,3:1,Alem. Aachen
Sa. 09.12.1989,15:00,MSV Duisburg,3:2,Wattenscheid 09
Sa. 09.12.1989,15:00,Stuttg. Kickers,1:1,Fortuna Köln
Sa. 09.12.1989,15:00,Hannover 96,0:0,Saarbrücken
Sa. 09.12.1989,15:00,SpVgg Bayreuth,0:2,Hertha BSC
Sa. 09.12.1989,15:00,Darmstadt 98,1:2,Pr. Münster
Sa. 09.12.1989,15:00,Unterhaching,0:2,RW Essen
Sa. 09.12.1989,15:00,SV Meppen,2:1,E. Braunschweig
Sa. 17.02.1990,15:00,BW Berlin,2:1,VfL Osnabrück
Sa. 17.02.1990,15:00,SC Freiburg,0:1,Hessen Kassel
