Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 02.05.26,unbekannt,Holstein Kiel,-:-,E. Braunschweig
Sa. 02.05.26,unbekannt,SV Elversberg,-:-,SC Paderborn
Sa. 02.05.26,unbekannt,1.FC Magdeburg,-:-,Hertha BSC
Sa. 02.05.26,unbekannt,Karlsruher SC,-:-,Darmstadt 98
Sa. 02.05.26,unbekannt,Hannover 96,-:-,Pr. Münster
Sa. 02.05.26,unbekannt,Greuther Fürth,-:-,1.FC Nürnberg
Sa. 02.05.26,unbekannt,FC Schalke 04,-:-,F. Düsseldorf
Sa. 02.05.26,unbekannt,Arm. Bielefeld,-:-,VfL Bochum
Sa. 02.05.26,unbekannt,Dynamo Dresden,-:-,1.FC K'lautern
