Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 07.02.26,unbekannt,SV Elversberg,-:-,Hertha BSC
Sa. 07.02.26,unbekannt,SC Paderborn,-:-,1.FC Nürnberg
Sa. 07.02.26,unbekannt,Karlsruher SC,-:-,F. Düsseldorf
Sa. 07.02.26,unbekannt,Hannover 96,-:-,Holstein Kiel
Sa. 07.02.26,unbekannt,Darmstadt 98,-:-,1.FC K'lautern
Sa. 07.02.26,unbekannt,Greuther Fürth,-:-,1.FC Magdeburg
Sa. 07.02.26,unbekannt,FC Schalke 04,-:-,Dynamo Dresden
Sa. 07.02.26,unbekannt,Pr. Münster,-:-,VfL Bochum
Sa. 07.02.26,unbekannt,Arm. Bielefeld,-:-,E. Braunschweig
