Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 22.09.1984,15:00,FC St. Pauli,3:0,Darmstadt 98
Sa. 22.09.1984,15:00,BW Berlin,2:2,Hessen Kassel
Sa. 22.09.1984,15:00,K. Offenbach,1:0,Hertha BSC
Sa. 22.09.1984,15:00,Saarbrücken,3:0,Hannover 96
Sa. 22.09.1984,15:00,Stuttg. Kickers,1:2,1.FC Nürnberg
Sa. 22.09.1984,15:00,Fortuna Köln,0:0,MSV Duisburg
Sa. 22.09.1984,15:00,Wattenscheid 09,2:1,SSV Ulm 1846
Sa. 22.09.1984,15:00,Alem. Aachen,2:2,Union Solingen
Sa. 22.09.1984,15:00,RW Oberhausen,4:1,FC 08 Homburg
Sa. 22.09.1984,15:00,VfR Bürstadt,2:1,SC Freiburg
