Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 09.02.1985,15:00,SC Freiburg,1:1,Hannover 96
Sa. 09.02.1985,15:00,FC St. Pauli,0:0,SSV Ulm 1846
Sa. 09.02.1985,15:00,Stuttg. Kickers,1:1,Hessen Kassel
Sa. 23.02.1985,19:00,RW Oberhausen,2:2,Wattenscheid 09
Sa. 23.02.1985,19:00,VfR Bürstadt,2:0,Alem. Aachen
Sa. 23.02.1985,19:00,MSV Duisburg,1:3,1.FC Nürnberg
Di. 26.02.1985,19:00,Saarbrücken,3:0,Darmstadt 98
Di. 05.03.1985,15:00,K. Offenbach,0:2,FC 08 Homburg
Di. 12.03.1985,19:00,Fortuna Köln,1:0,Hertha BSC
Mo. 08.04.1985,19:00,BW Berlin,3:0,Union Solingen
