Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 18.05.1985,15:00,FC 08 Homburg,3:3,Hannover 96
Sa. 18.05.1985,15:00,Darmstadt 98,2:1,Hertha BSC
Sa. 18.05.1985,15:00,BW Berlin,2:1,K. Offenbach
Sa. 18.05.1985,15:00,FC St. Pauli,1:0,Saarbrücken
Sa. 18.05.1985,15:00,RW Oberhausen,0:0,Stuttg. Kickers
Sa. 18.05.1985,15:00,Alem. Aachen,1:0,Fortuna Köln
Sa. 18.05.1985,15:00,Wattenscheid 09,2:3,SC Freiburg
Sa. 18.05.1985,15:00,SSV Ulm 1846,2:3,MSV Duisburg
Sa. 18.05.1985,15:00,Union Solingen,2:1,1.FC Nürnberg
Sa. 18.05.1985,15:00,VfR Bürstadt,2:1,Hessen Kassel
