Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 10.11.1984,15:00,Hannover 96,2:0,SSV Ulm 1846
Sa. 10.11.1984,15:00,Hertha BSC,3:2,Union Solingen
Sa. 10.11.1984,15:00,Darmstadt 98,1:2,VfR Bürstadt
Sa. 10.11.1984,15:00,Saarbrücken,5:0,K. Offenbach
Sa. 10.11.1984,15:00,Stuttg. Kickers,1:2,BW Berlin
Sa. 10.11.1984,15:00,Fortuna Köln,2:0,FC St. Pauli
Sa. 10.11.1984,15:00,SC Freiburg,1:1,RW Oberhausen
Sa. 10.11.1984,15:00,MSV Duisburg,0:2,Alem. Aachen
Sa. 10.11.1984,15:00,1.FC Nürnberg,2:0,Wattenscheid 09
Sa. 10.11.1984,15:00,Hessen Kassel,3:2,FC 08 Homburg
