Datum,Uhrzeit,Heim,Ergebnis,Gast
So. 02.06.1985,15:00,Hessen Kassel,2:2,Hannover 96
So. 02.06.1985,15:00,FC St. Pauli,1:0,BW Berlin
So. 02.06.1985,15:00,RW Oberhausen,2:1,K. Offenbach
So. 02.06.1985,15:00,Alem. Aachen,1:1,Saarbrücken
So. 02.06.1985,15:00,Wattenscheid 09,2:4,Stuttg. Kickers
So. 02.06.1985,15:00,SSV Ulm 1846,4:4,Fortuna Köln
So. 02.06.1985,15:00,Union Solingen,3:1,SC Freiburg
So. 02.06.1985,15:00,FC 08 Homburg,3:0,MSV Duisburg
So. 02.06.1985,15:00,Darmstadt 98,0:4,1.FC Nürnberg
So. 02.06.1985,15:00,Hertha BSC,1:1,VfR Bürstadt
