Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 08.12.1984,15:00,FC St. Pauli,3:0,VfR Bürstadt
Sa. 08.12.1984,15:00,Hertha BSC,2:2,Hannover 96
Sa. 08.12.1984,15:00,Darmstadt 98,1:3,MSV Duisburg
Sa. 08.12.1984,15:00,FC 08 Homburg,0:1,SC Freiburg
Sa. 08.12.1984,15:00,Union Solingen,4:1,Fortuna Köln
Sa. 08.12.1984,15:00,SSV Ulm 1846,2:2,Stuttg. Kickers
Sa. 08.12.1984,15:00,Wattenscheid 09,1:2,Saarbrücken
Sa. 08.12.1984,15:00,Alem. Aachen,1:0,K. Offenbach
Sa. 08.12.1984,15:00,RW Oberhausen,2:5,BW Berlin
Sa. 08.12.1984,15:00,Hessen Kassel,4:0,1.FC Nürnberg
