Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 02.03.1985,15:00,Stuttg. Kickers,1:1,Hannover 96
Sa. 02.03.1985,15:00,RW Oberhausen,5:1,Union Solingen
Sa. 02.03.1985,15:00,Alem. Aachen,2:2,SSV Ulm 1846
Sa. 02.03.1985,15:00,Fortuna Köln,2:0,1.FC Nürnberg
Sa. 02.03.1985,15:00,K. Offenbach,0:1,Hessen Kassel
Di. 12.03.1985,19:00,BW Berlin,3:1,Darmstadt 98
Sa. 06.04.1985,19:00,FC St. Pauli,3:0,FC 08 Homburg
Di. 09.04.1985,15:00,VfR Bürstadt,1:2,Wattenscheid 09
Di. 09.04.1985,15:00,SC Freiburg,2:2,MSV Duisburg
Di. 14.05.1985,19:00,Saarbrücken,0:0,Hertha BSC
