Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 03.11.1984,15:00,FC St. Pauli,3:3,SC Freiburg
Sa. 03.11.1984,15:00,BW Berlin,0:0,Fortuna Köln
Sa. 03.11.1984,15:00,K. Offenbach,1:0,Stuttg. Kickers
Sa. 03.11.1984,15:00,FC 08 Homburg,0:1,Darmstadt 98
Sa. 03.11.1984,15:00,Union Solingen,0:2,Hessen Kassel
Sa. 03.11.1984,15:00,SSV Ulm 1846,0:0,Hertha BSC
Sa. 03.11.1984,15:00,Wattenscheid 09,2:0,Hannover 96
Sa. 03.11.1984,15:00,Alem. Aachen,2:1,1.FC Nürnberg
Sa. 03.11.1984,15:00,RW Oberhausen,2:2,MSV Duisburg
Sa. 03.11.1984,15:00,VfR Bürstadt,1:2,Saarbrücken
