Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 18.08.1984,15:00,Hannover 96,4:2,1.FC Nürnberg
Sa. 18.08.1984,15:00,Hertha BSC,4:3,MSV Duisburg
Sa. 18.08.1984,15:00,Darmstadt 98,1:1,Fortuna Köln
Sa. 18.08.1984,15:00,FC 08 Homburg,3:2,Stuttg. Kickers
Sa. 18.08.1984,15:00,Union Solingen,2:1,Saarbrücken
Sa. 18.08.1984,15:00,SSV Ulm 1846,2:2,K. Offenbach
Sa. 18.08.1984,15:00,Wattenscheid 09,2:1,BW Berlin
Sa. 18.08.1984,15:00,Alem. Aachen,4:0,FC St. Pauli
Sa. 18.08.1984,15:00,RW Oberhausen,0:2,VfR Bürstadt
Sa. 18.08.1984,15:00,Hessen Kassel,3:2,SC Freiburg
