Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 21.11.1997,19:00,Carl Zeiss Jena,2:2,1.FSV Mainz 05
Fr. 21.11.1997,19:00,KFC Uerdingen,2:0,Greuther Fürth
Sa. 22.11.1997,15:30,SV Meppen,1:1,Unterhaching
So. 23.11.1997,14:30,Stuttg. Kickers,0:2,FC Gütersloh
So. 23.11.1997,14:30,VfB Leipzig,0:1,FSV Zwickau
So. 23.11.1997,15:00,SC Freiburg,3:2,Fortuna Köln
So. 23.11.1997,15:00,Energie Cottbus,1:2,Wattenscheid 09
So. 23.11.1997,15:00,1.FC Nürnberg,0:1,F. Düsseldorf
Mo. 24.11.1997,19:15,E. Frankfurt,4:2,FC St. Pauli
