Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 14.09.1985,15:00,VfL Osnabrück,1:1,Karlsruher SC
Sa. 14.09.1985,15:00,Alem. Aachen,1:1,Darmstadt 98
Sa. 14.09.1985,15:00,RW Oberhausen,0:2,Arm. Bielefeld
Sa. 14.09.1985,15:00,Hertha BSC,3:0,TeBe Berlin
Sa. 14.09.1985,15:00,Aschaffenburg,3:1,SpVgg Bayreuth
Sa. 14.09.1985,15:00,MSV Duisburg,1:1,Wattenscheid 09
Sa. 14.09.1985,15:00,Stuttg. Kickers,3:0,Fortuna Köln
Sa. 14.09.1985,15:00,E. Braunschweig,0:1,FC 08 Homburg
Sa. 14.09.1985,15:00,SC Freiburg,1:2,BW Berlin
Sa. 14.09.1985,15:00,Union Solingen,2:1,Hessen Kassel
