Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 27.09.1985,20:00,VfL Osnabrück,1:1,Darmstadt 98
Fr. 27.09.1985,20:00,Union Solingen,4:3,BW Berlin
Fr. 27.09.1985,20:00,Alem. Aachen,4:1,MSV Duisburg
Sa. 28.09.1985,15:30,SC Freiburg,1:0,Karlsruher SC
Sa. 28.09.1985,15:30,E. Braunschweig,0:0,Fortuna Köln
Sa. 28.09.1985,15:30,Stuttg. Kickers,4:3,TeBe Berlin
So. 29.09.1985,15:00,Aschaffenburg,4:1,Wattenscheid 09
So. 29.09.1985,15:00,FC 08 Homburg,3:1,Arm. Bielefeld
So. 29.09.1985,15:00,RW Oberhausen,1:3,Hessen Kassel
So. 29.09.1985,15:30,Hertha BSC,2:0,SpVgg Bayreuth
