Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 22.02.1986,15:30,Fortuna Köln,1:0,Hertha BSC
Sa. 22.02.1986,15:30,BW Berlin,0:0,VfL Osnabrück
So. 23.02.1986,14:30,TeBe Berlin,2:1,Aschaffenburg
So. 23.02.1986,14:30,FC 08 Homburg,1:0,Stuttg. Kickers
Di. 11.03.1986,19:30,Arm. Bielefeld,2:2,Union Solingen
Di. 11.03.1986,20:00,Karlsruher SC,4:1,Darmstadt 98
Di. 11.03.1986,20:00,E. Braunschweig,1:0,RW Oberhausen
Di. 08.04.1986,18:15,Hessen Kassel,0:4,SC Freiburg
Di. 15.04.1986,18:15,SpVgg Bayreuth,2:1,MSV Duisburg
Di. 15.04.1986,20:00,Wattenscheid 09,5:0,Alem. Aachen
