Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 21.03.1986,20:00,MSV Duisburg,1:2,Alem. Aachen
Sa. 22.03.1986,15:00,BW Berlin,3:1,Union Solingen
Sa. 22.03.1986,15:30,Darmstadt 98,3:1,VfL Osnabrück
Sa. 22.03.1986,15:30,Karlsruher SC,3:2,SC Freiburg
Sa. 22.03.1986,15:30,Wattenscheid 09,1:0,Aschaffenburg
Sa. 22.03.1986,15:30,Arm. Bielefeld,1:1,FC 08 Homburg
Sa. 22.03.1986,15:30,Hessen Kassel,1:1,RW Oberhausen
So. 23.03.1986,15:00,SpVgg Bayreuth,1:1,Hertha BSC
So. 23.03.1986,15:00,Fortuna Köln,2:1,E. Braunschweig
So. 23.03.1986,15:00,TeBe Berlin,2:1,Stuttg. Kickers
