Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 04.04.1986,18:15,TeBe Berlin,1:1,E. Braunschweig
Fr. 04.04.1986,19:30,Wattenscheid 09,3:1,Hertha BSC
Fr. 04.04.1986,20:00,VfL Osnabrück,0:0,Alem. Aachen
Fr. 04.04.1986,20:00,MSV Duisburg,0:1,Aschaffenburg
Sa. 05.04.1986,15:00,BW Berlin,4:2,RW Oberhausen
Sa. 05.04.1986,15:30,Karlsruher SC,1:2,Union Solingen
Sa. 05.04.1986,15:30,Darmstadt 98,0:1,SC Freiburg
Sa. 05.04.1986,15:30,Hessen Kassel,3:0,FC 08 Homburg
Sa. 05.04.1986,15:30,SpVgg Bayreuth,1:1,Stuttg. Kickers
So. 06.04.1986,15:00,Fortuna Köln,3:1,Arm. Bielefeld
