Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 01.03.1986,15:00,Hertha BSC,0:2,Hessen Kassel
Sa. 01.03.1986,15:00,Stuttg. Kickers,0:1,Arm. Bielefeld
Sa. 01.03.1986,15:00,Aschaffenburg,2:3,BW Berlin
Sa. 01.03.1986,15:30,Darmstadt 98,2:1,Wattenscheid 09
So. 02.03.1986,15:00,RW Oberhausen,2:2,FC 08 Homburg
Di. 18.03.1986,20:00,VfL Osnabrück,1:0,SpVgg Bayreuth
Di. 18.03.1986,20:00,Alem. Aachen,3:2,E. Braunschweig
Di. 08.04.1986,20:00,MSV Duisburg,0:2,Karlsruher SC
Di. 15.04.1986,18:15,SC Freiburg,1:2,TeBe Berlin
Do. 01.05.1986,18:00,Union Solingen,0:0,Fortuna Köln
