Datum,Uhrzeit,Heim,Ergebnis,Gast
Do. 03.10.1985,20:00,Karlsruher SC,3:0,Hertha BSC
Fr. 04.10.1985,20:00,Wattenscheid 09,0:2,SC Freiburg
Sa. 05.10.1985,15:30,BW Berlin,1:1,Stuttg. Kickers
Sa. 05.10.1985,15:30,Arm. Bielefeld,1:1,Alem. Aachen
Sa. 05.10.1985,19:30,Fortuna Köln,2:3,FC 08 Homburg
Sa. 05.10.1985,19:30,Darmstadt 98,1:0,Aschaffenburg
So. 06.10.1985,15:00,SpVgg Bayreuth,1:0,Union Solingen
So. 06.10.1985,15:00,Hessen Kassel,2:1,E. Braunschweig
So. 06.10.1985,15:00,TeBe Berlin,2:2,RW Oberhausen
Di. 22.10.1985,20:00,MSV Duisburg,0:1,VfL Osnabrück
