Datum,Uhrzeit,Heim,Ergebnis,Gast
Mi. 06.11.1985,19:30,Fortuna Köln,0:3,BW Berlin
Fr. 15.11.1985,20:00,Union Solingen,1:0,VfL Osnabrück
Di. 19.11.1985,20:00,E. Braunschweig,2:2,Wattenscheid 09
Mi. 20.11.1985,14:30,FC 08 Homburg,0:0,Karlsruher SC
Mi. 20.11.1985,14:30,SC Freiburg,4:1,Alem. Aachen
Mi. 20.11.1985,14:30,Stuttg. Kickers,3:0,MSV Duisburg
Mi. 20.11.1985,14:30,Hessen Kassel,2:2,TeBe Berlin
Mi. 20.11.1985,15:30,Hertha BSC,1:1,Aschaffenburg
Mi. 20.11.1985,15:30,Arm. Bielefeld,1:0,SpVgg Bayreuth
Mi. 20.11.1985,18:00,RW Oberhausen,4:1,Darmstadt 98
